,adm_cd,dong_code,city_name
178,35560,,전라북도_순창군
179,35570,,전라북도_고창군
180,35580,,전라북도_부안군
181,36010,46110,전라남도_목포시
182,36020,46130,전라남도_여수시
183,36030,46150,전라남도_순천시
184,36040,46170,전라남도_나주시
185,36060,46230,전라남도_광양시
186,36510,46710,전라남도_담양군
187,36520,46720,전라남도_곡성군
188,36530,46730,전라남도_구례군
189,36550,46770,전라남도_고흥군
190,36560,46780,전라남도_보성군
191,36570,46790,전라남도_화순군
192,36580,46800,전라남도_장흥군
193,36590,46810,전라남도_강진군
194,36600,46820,전라남도_해남군
195,36610,46830,전라남도_영암군
196,36620,46840,전라남도_무안군
197,36630,46860,전라남도_함평군
198,36640,46870,전라남도_영광군
199,36650,46880,전라남도_장성군
200,36660,46890,전라남도_완도군
201,36670,46900,전라남도_진도군
202,36680,46910,전라남도_신안군
203,37011,47111,경상북도_포항시남구
204,37012,47113,경상북도_포항시북구
205,37020,47130,경상북도_경주시
206,37030,47150,경상북도_김천시
207,37040,47170,경상북도_안동시
208,37050,47190,경상북도_구미시
209,37060,47210,경상북도_영주시
210,37070,47230,경상북도_영천시
211,37080,47250,경상북도_상주시
212,37090,47280,경상북도_문경시
213,37100,47290,경상북도_경산시
214,37520,47730,경상북도_의성군
215,37530,47750,경상북도_청송군
216,37540,47760,경상북도_영양군
217,37550,47770,경상북도_영덕군
218,37560,47820,경상북도_청도군
219,37570,47830,경상북도_고령군
220,37580,47840,경상북도_성주군
221,37590,47850,경상북도_칠곡군
222,37600,47900,경상북도_예천군
223,37610,47920,경상북도_봉화군
224,37620,47930,경상북도_울진군
225,37630,47940,경상북도_울릉군
226,38030,48170,경상남도_진주시
227,38050,48220,경상남도_통영시
228,38060,48240,경상남도_사천시
229,38070,48250,경상남도_김해시
230,38080,48270,경상남도_밀양시
231,38090,48310,경상남도_거제시
232,38100,48330,경상남도_양산시
233,38111,48121,경상남도_창원시의창구
234,38112,48123,경상남도_창원시성산구
235,38113,48125,경상남도_창원시마산합포구
236,38114,48127,경상남도_창원시마산회원구
237,38115,48129,경상남도_창원시진해구
238,38510,48720,경상남도_의령군
239,38520,48730,경상남도_함안군
240,38530,48740,경상남도_창녕군
241,38540,48820,경상남도_고성군
242,38550,48840,경상남도_남해군
243,38560,48850,경상남도_하동군
244,38570,48860,경상남도_산청군
245,38580,48870,경상남도_함양군
246,38590,48880,경상남도_거창군
247,38600,48890,경상남도_합천군
248,39010,50110,제주특별자치도_제주시
249,39020,50130,제주특별자치도_서귀포시
